[2025-07-06 23:52:23] [19.718767166137695, 13.348880767822266]
[2025-07-06 23:52:23] [13.519298553466797, 12.13146686553955]
[2025-07-06 23:52:23] [10.038732528686523, 14.231115341186523]
[2025-07-06 23:52:23] [14.28636360168457, 11.027793884277344]
[2025-07-06 23:52:23] [19.361101150512695, 11.981103897094727]
[2025-07-06 23:52:23] [10.11496639251709, 13.431957244873047]
[2025-07-06 23:52:23] [19.77574920654297, 10.898146629333496]
[2025-07-06 23:52:23] [17.8414306640625, 11.6593017578125]
[2025-07-06 23:52:23] [20.989389419555664, 11.701038360595703]
[2025-07-06 23:52:23] [21.63550567626953, 11.448348999023438]
[2025-07-06 23:52:23] [21.170310974121094, 12.240165710449219]
[2025-07-06 23:52:23] [15.373661041259766, 11.697914123535156]
[2025-07-06 23:52:23] [13.186141967773438, 11.229485511779785]
[2025-07-06 23:52:23] [23.55559539794922, 12.77016830444336]
[2025-07-06 23:52:23] [23.047531127929688, 11.736137390136719]
[2025-07-06 23:52:23] [19.53350830078125, 11.634664535522461]
[2025-07-06 23:52:23] [15.76211166381836, 11.471431732177734]
[2025-07-06 23:52:23] [14.049253463745117, 10.61372184753418]
[2025-07-06 23:52:23] [11.010361671447754, 12.455177307128906]
[2025-07-06 23:52:23] [10.479721069335938, 12.112554550170898]
[2025-07-06 23:52:23] [14.612634658813477, 15.878297805786133]
[2025-07-06 23:52:23] [21.777027130126953, 11.718038558959961]
[2025-07-06 23:52:23] [20.91387176513672, 10.931939125061035]
[2025-07-06 23:52:23] [16.020809173583984, 10.423162460327148]
[2025-07-06 23:52:23] [14.436286926269531, 11.455535888671875]
[2025-07-06 23:52:23] [10.819328308105469, 13.623466491699219]
[2025-07-06 23:52:23] [26.230819702148438, 11.046051025390625]
[2025-07-06 23:52:23] [10.394423484802246, 16.173826217651367]
[2025-07-06 23:52:23] [17.099483489990234, 14.515229225158691]
[2025-07-06 23:52:23] [20.00442886352539, 15.707685470581055]
[2025-07-06 23:52:23] [14.349481582641602, 14.272860527038574]
[2025-07-06 23:52:23] [10.703030586242676, 10.731085777282715]
[2025-07-06 23:52:23] [23.550674438476562, 11.039186477661133]
[2025-07-06 23:52:23] [18.27601432800293, 13.128755569458008]
[2025-07-06 23:52:23] [19.850399017333984, 12.335256576538086]
[2025-07-06 23:52:23] [10.473862648010254, 12.281524658203125]
[2025-07-06 23:52:23] [10.191612243652344, 11.630666732788086]
[2025-07-06 23:52:23] [24.940664291381836, 11.266023635864258]
[2025-07-06 23:52:23] [12.935636520385742, 10.333256721496582]
[2025-07-06 23:52:23] [11.319855690002441, 16.73981285095215]
[2025-07-06 23:52:23] [18.19217300415039, 12.03663444519043]
[2025-07-06 23:52:23] [10.722238540649414, 15.47392749786377]
[2025-07-06 23:52:23] [12.187174797058105, 11.262542724609375]
[2025-07-06 23:52:23] [13.788822174072266, 11.237592697143555]
[2025-07-06 23:52:23] [13.871175765991211, 10.817584037780762]
[2025-07-06 23:52:23] [11.144575119018555, 15.634093284606934]
[2025-07-06 23:52:23] [12.596635818481445, 11.707477569580078]
[2025-07-06 23:52:23] [17.570802688598633, 11.431609153747559]
[2025-07-06 23:52:23] [18.547985076904297, 11.853267669677734]
[2025-07-06 23:52:23] [10.893098831176758, 14.06668758392334]
[2025-07-06 23:52:23] [17.371559143066406, 11.801437377929688]
[2025-07-06 23:52:23] [12.129583358764648, 11.529860496520996]
[2025-07-06 23:52:23] [12.64286994934082, 10.78172492980957]
[2025-07-06 23:52:23] [23.004779815673828, 11.326488494873047]
[2025-07-06 23:52:23] [11.117408752441406, 12.912199020385742]
[2025-07-06 23:52:23] [23.748687744140625, 13.351943969726562]
[2025-07-06 23:52:23] [12.040047645568848, 13.195547103881836]
[2025-07-06 23:52:23] [28.557056427001953, 11.550921440124512]
[2025-07-06 23:52:23] [13.354345321655273, 11.145158767700195]
[2025-07-06 23:52:23] [10.3203763961792, 14.489859580993652]
[2025-07-06 23:52:23] [12.591665267944336, 10.154865264892578]
[2025-07-06 23:52:23] [13.112349510192871, 12.787923812866211]
[2025-07-06 23:52:23] [10.79205322265625, 10.802875518798828]
[2025-07-06 23:52:23] [10.179099082946777, 10.612393379211426]
[2025-07-06 23:52:23] [17.322317123413086, 15.441082000732422]
[2025-07-06 23:52:23] [18.95098876953125, 12.153637886047363]
[2025-07-06 23:52:23] [12.783243179321289, 13.568985939025879]
[2025-07-06 23:52:23] [13.783695220947266, 10.637598037719727]
[2025-07-06 23:52:23] [26.420413970947266, 11.422723770141602]
[2025-07-06 23:52:23] [12.677989959716797, 11.25857162475586]
[2025-07-06 23:52:23] [22.34002113342285, 10.321771621704102]
[2025-07-06 23:52:23] [10.964767456054688, 14.540751457214355]
[2025-07-06 23:52:23] [13.252991676330566, 14.979793548583984]
[2025-07-06 23:52:23] [15.969108581542969, 11.581768035888672]
[2025-07-06 23:52:23] [16.362546920776367, 11.426898002624512]
[2025-07-06 23:52:23] [10.334821701049805, 13.417600631713867]
[2025-07-06 23:52:23] [21.46548843383789, 12.357268333435059]
[2025-07-06 23:52:23] [10.406495094299316, 10.222399711608887]
[2025-07-06 23:52:23] [14.938797950744629, 10.630719184875488]
[2025-07-06 23:52:23] [18.24560546875, 13.261845588684082]
[2025-07-06 23:52:23] [12.479907989501953, 12.87671947479248]
[2025-07-06 23:52:23] [11.371919631958008, 13.297039985656738]
[2025-07-06 23:52:23] [15.275650024414062, 10.854187965393066]
[2025-07-06 23:52:23] [26.958669662475586, 13.454228401184082]
[2025-07-06 23:52:23] [15.69620132446289, 11.774782180786133]
[2025-07-06 23:52:23] [16.016632080078125, 10.99252986907959]
[2025-07-06 23:52:23] [14.871418952941895, 15.581459045410156]
[2025-07-06 23:52:23] [14.929378509521484, 11.719555854797363]
[2025-07-06 23:52:23] [11.489470481872559, 11.10040283203125]
[2025-07-06 23:52:23] [17.590816497802734, 11.510104179382324]
[2025-07-06 23:52:23] [19.320566177368164, 15.81787109375]
[2025-07-06 23:52:23] [19.743423461914062, 11.799640655517578]
[2025-07-06 23:52:23] [12.79111385345459, 12.147130966186523]
[2025-07-06 23:52:23] [11.795356750488281, 15.360219955444336]
[2025-07-06 23:52:23] [13.875582695007324, 11.27326774597168]
[2025-07-06 23:52:23] [10.177536964416504, 16.072250366210938]
[2025-07-06 23:52:23] [16.164857864379883, 11.016607284545898]
[2025-07-06 23:52:23] [20.702028274536133, 14.13515853881836]
[2025-07-06 23:52:23] [15.820255279541016, 12.046037673950195]
[2025-07-06 23:52:23] [12.39412784576416, 11.514880180358887]
[2025-07-06 23:52:23] [10.495509147644043, 11.331879615783691]
[2025-07-06 23:52:23] [16.943845748901367, 11.319337844848633]
[2025-07-06 23:52:23] [11.213664054870605, 13.097282409667969]
[2025-07-06 23:52:23] [16.87229347229004, 13.673959732055664]
[2025-07-06 23:52:23] [13.756601333618164, 13.823240280151367]
[2025-07-06 23:52:23] [10.980013847351074, 14.11376953125]
[2025-07-06 23:52:23] [10.632535934448242, 13.946253776550293]
[2025-07-06 23:52:23] [11.121443748474121, 14.27505874633789]
[2025-07-06 23:52:23] [10.623626708984375, 10.635660171508789]
[2025-07-06 23:52:23] [16.65497589111328, 12.518819808959961]
[2025-07-06 23:52:23] [18.894542694091797, 10.241275787353516]
[2025-07-06 23:52:23] [12.611589431762695, 10.923670768737793]
[2025-07-06 23:52:23] [13.919120788574219, 11.895214080810547]
[2025-07-06 23:52:23] [10.61280345916748, 14.88622760772705]
[2025-07-06 23:52:23] [17.403182983398438, 10.806620597839355]
[2025-07-06 23:52:23] [13.8582763671875, 12.136054039001465]
[2025-07-06 23:52:23] [14.478832244873047, 12.262619018554688]
[2025-07-06 23:52:23] [17.802242279052734, 10.46949291229248]
[2025-07-06 23:52:23] [20.028621673583984, 10.187713623046875]
[2025-07-06 23:52:23] [20.426513671875, 15.434846878051758]
[2025-07-06 23:52:23] [13.720907211303711, 10.471518516540527]
[2025-07-06 23:52:23] [22.650127410888672, 13.42133617401123]
[2025-07-06 23:52:23] [16.420169830322266, 11.661981582641602]
